"seller_state","customer_state","total_freight_value_2017","total_freight_value_2018","avg_seller_processing_time_2017","avg_seller_processing_time_2018","avg_carrier_processing_time_2017","avg_carrier_processing_time_2018","delay_value_pct_per_state_2017","delay_value_pct_per_state_2018","avg_review_2017","avg_review_2018","total_orders_2017","total_orders_2018"
PR,MG,3594.951,11898.388,"2 days 14:31:50.440994","2 days 24:47:09.675351","9 days 10:36:59.30625","10 days 27:22:41.730769",2.1146325394511223,6.004594638943672,4.2378048780487805,4.1117764471057884,164,501
SP,SP,80708.37,238867.61,"2 days 21:19:21.63908","2 days 14:34:07.870921","5 days 13:00:56.490546","4 days 14:41:47.596416",4.373426735401154,5.732011049985886,4.1061753323237422,4.1341221794166208,5943,18170
SC,SC,933.1902,2499.02,"1 day 21:12:26.655172","2 days 13:38:09.20979","6 days 26:07:21.741379","4 days 22:48:22.119718",2.4818092584609985,5.639410763978958,4.2539682539682540,4.1527777777777778,63,144
ES,SP,1090.6199,934.3699,"29:24:09.8","1 day 23:17:10.225","8 days 22:05:46.060606","7 days 28:36:50.5",3.47692146897316,5.0354789942502975,4.0555555555555556,4.2500000000000000,36,40
RS,RS,880.9998,2467.6597,"2 days 16:18:21.205883","2 days 25:44:41.807407","3 days 29:25:07.32353","3 days 27:17:03.451852",2.543700858950615,5.024193972349167,4.5285714285714286,4.4275362318840580,70,138
PR,SC,1499.3999,4879.4106,"3 days 13:30:30.04054","2 days 11:32:32.734783","13 days 14:14:51.916667","9 days 34:49:40.004405",10.308124125003815,4.96760793030262,4.1351351351351351,4.2467532467532468,74,231
SC,MG,3180.6387,6213.07,"1 day 28:50:07.431372","2 days 15:57:14.943396","11 days 11:48:19.930693","11 days 12:02:29.731132",3.618770092725754,4.782659932971001,4.4230769230769231,3.9812206572769953,104,213
PR,RS,2350.9407,8642.627,"1 day 35:13:23.855856","2 days 21:17:13.221354","7 days 22:13:50.090091","10 days 30:55:40.257218",2.792499214410782,4.532881453633308,4.5221238938053097,4.0077922077922078,113,385
GO,SP,707.77014,1820.9899,"1 day 31:00:01.96","1 day 30:58:59.063492","9 days 22:49:07.92","8 days 12:17:13.354839",0.0,4.520618170499802,3.8800000000000000,4.4062500000000000,25,64
RJ,MT,18.47,577.0399,"8 days 07:50:16","1 day 16:37:30.55","16 days 20:01:28","16 days 22:54:45.842106",0.0,4.453764855861664,5.0000000000000000,4.1500000000000000,1,20
DF,SP,1053.9296,3208.181,"2 days 30:17:19.90196","1 day 32:18:08.612903","6 days 16:31:27.843137","7 days 31:30:54.187097",2.262010797858238,4.260046407580376,3.9433962264150943,4.1346153846153846,53,156
MT,SP,,665.01996,,"3 days 17:23:37.142857",,"8 days 13:40:52.190476",,4.118673130869865,,3.8095238095238095,0,21
RS,MG,1170.5901,2435.0903,"2 days 21:00:04.463415","1 day 30:10:11.208791","6 days 30:30:43.925","7 days 31:17:29.505494",0.0,3.997798264026642,4.6428571428571429,4.2527472527472527,42,91
SC,SP,6716.7456,16518.486,"2 days 15:58:15.068657","1 day 34:30:22.590909","8 days 17:42:42.082067","9 days 14:17:32.906021",4.150819405913353,3.7544600665569305,4.2261904761904762,4.0758017492711370,336,686
PE,RJ,55.160004,1267.33,"12:32:40","1 day 27:55:40.734694","13 days 20:03:04.5","11 days 07:41:38.612245",0.0,3.7227872759103775,5.0000000000000000,3.7142857142857143,2,49
SC,ES,618.97003,586.74,"34:58:41.444444","1 day 22:43:00.5","9 days 24:22:51.833333","13 days 31:29:53.3125",0.0,3.6796536296606064,4.2777777777777778,3.8750000000000000,18,16
SP,AC,757.88995,783.92,"2 days 17:26:10.041667","1 day 18:50:58.35","18 days 14:23:44.416667","17 days 25:32:32.9",0.0,3.51821631193161,3.9166666666666667,4.2000000000000000,24,20
RJ,PA,316.76,834.06006,"1 day 12:52:00.777778","1 day 18:53:05.764706","14 days 32:50:02.555556","18 days 29:41:24.058823",0.0,3.4949522465467453,4.7777777777777778,4.2941176470588235,9,17
PR,PR,2309.3782,7004.659,"3 days 22:13:32.435898","1 day 33:39:26.041564","4 days 32:31:56.447369","4 days 20:52:48.803921",2.775638923048973,3.4923892468214035,4.4240506329113924,4.2147971360381862,158,419
MG,PR,2074.4602,5225.31,"2 days 17:53:22.752577","2 days 16:56:31.684783","8 days 26:01:13.814433","8 days 21:00:11.918033",0.0,3.4836214035749435,4.3434343434343434,4.1684782608695652,99,184
PE,SP,130.13,2778.1606,"32:11:54.75","1 day 17:02:02.835164","7 days 19:10:25","9 days 22:47:33.406593",0.0,3.4594830125570297,5.0000000000000000,4.4065934065934066,4,91
RJ,RJ,1937.2502,6427.32,"1 day 22:01:26.300654","1 day 31:56:17.867424","3 days 23:04:55.304635","3 days 16:25:40.361702",3.5540062934160233,3.058973327279091,3.9870967741935484,4.2875939849624060,155,532
MG,MG,5224.139,14216.126,"2 days 24:30:09.411932","1 day 32:39:05.817945","5 days 27:49:56.798851","4 days 30:18:08.017038",3.920646011829376,3.052027150988579,4.0944444444444444,4.3085787451984635,360,781
PR,PI,153.86,1410.5002,"23:55:42.666667","1 day 33:29:10.3","11 days 08:29:22.333333","14 days 31:16:51.5",0.0,3.0287127941846848,4.0000000000000000,4.1000000000000000,4,20
RS,MT,199.27,760.56006,"2 days 18:10:38.166667","1 day 29:37:04.9375","11 days 21:46:45","14 days 19:11:21.9375",0.0,3.0043650418519974,4.5000000000000000,3.6250000000000000,6,16
PR,SP,10748.81,35732.27,"2 days 29:21:53.060606","2 days 19:52:01.750406","6 days 23:02:08.060953","7 days 24:17:54.548071",4.700055345892906,2.6561424136161804,4.1781818181818182,4.1383952611739365,550,1857
MG,PB,781.0799,858.3401,"2 days 12:36:35.230769","2 days 11:12:08.444444","20 days 18:45:06.153847","11 days 33:53:06.611111",31.443646550178528,2.5293003767728806,4.0384615384615385,4.3888888888888889,26,18
